title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree
Content Writing,Eduminatti,Work From Home,Immediately,6,12000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-10,MSc
Fundraising,Willow,Work From Home,Immediately,6,30000,No,Hybrid,Urban,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-11-14,MSc
Digital Marketing,Eduminatti,Work From Home,Immediately,6,8000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-14,BA
Business Analytics,Smollan India Private Limited,Work From Home,Immediately,6,10000,Yes,Hybrid,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-09-14,BSc
Aerospace Engineering,Huezone Solutions Pte. Ltd.,Delhi,Immediately,6,10000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",2025-11-14,BCom
Sales,Ingenious Solutions,Work From Home,Immediately,6,2000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-02,BBA
Software Development & Testing (QA),CrescoWorks,Coimbatore,Immediately,6,3000,No,Hybrid,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-11-25,BCA
Content Development (English),The Inner Journey - Yoga Lab For Athletes,Bangalore,Immediately,6,3000,Yes,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-09-11,BTech
Graphic Design,WeirdNotion,Work From Home,Immediately,6,1000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-16,BBA
Sales,Adtitude Digital,Work From Home,Immediately,6,16000,Yes,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-10-20,MCom
Account Coordination,Naarg Data Media Services,Work From Home,Immediately,6,5000,No,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-16,MCom
Event Management,Victor Tango Entertainment Private Limited,Mumbai,Immediately,6,6000,Yes,Remote,Rural,Operations & Support,"Event Planning, Coordination, Communication, PR",2025-12-01,BBA
Fashion Consultant,TrendMentor,Work From Home,Immediately,6,5000,No,Remote,Rural,Marketing,"Consulting, Problem Solving, Communication, Analysis",2025-10-09,BCom
Content Writing,"The Algorithm (Denver, United States)",Work From Home,Immediately,6,10000,No,Hybrid,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-21,MTech
Business Development (Sales),MM Agencyz,Delhi,Immediately,6,3000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-24,BTech
Social Media Marketing,Rover Writing Instruments,Mumbai,Immediately,6,5000,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-22,BA
RPA Development (UiPath Certified Professional),Lykiq Labs,Work From Home,Immediately,6,3000,No,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping, PR Strategy, Media Relations",2025-09-22,BSc
Python Django Development,Cycatz,Bangalore,Immediately,6,10000,Yes,Hybrid,Urban,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",2025-09-11,MTech
Fundraising,Jankalyan Multipurpose Education Society,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Rural,Operations & Support,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",2025-10-29,MTech
Graphic Design (Branding),Design Square Root,Work From Home,Immediately,6,6000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-12-02,BCom
Audiologist,Sanskara Hearing,Mumbai,Immediately,6,30000,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-10-19,BCom
Quality Assurance,Quizzy,Work From Home,Immediately,6,3000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",2025-11-18,BBA
Business Development (Sales),YuppTV,Work From Home,Immediately,6,18000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-22,MCA
Business Development (Sales),TruLOCAL India Private Limited,Bangalore,Immediately,6,2000,Yes,Hybrid,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-10-12,MTech
Video Making/Editing,The Ishtehaar,Work From Home,Immediately,6,5000,Yes,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-18,MA
Quality Assurance (Content),Quizzy,Work From Home,Immediately,6,8000,No,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-17,MTech
Academic Content Quality Assurance,Quizzy,Work From Home,Immediately,6,8000,No,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-18,BBA
Flutter Development,Aha Classes,Work From Home,Immediately,6,3000,No,Onsite,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",2025-10-08,MCA
Content Writing,Organic Spice Box,Work From Home,Immediately,6,500,Yes,Hybrid,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-28,PhD
"Service Engineers, Marketing, On Site Engineers",Partap Peripherals Solutions,Chandigarh,Immediately,6,2500,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-02,MBA
Human Resources (HR),ConsultAdd Inc,Pune,Immediately,6,25000,No,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-10,MBA
User Interfaces And Experiences (UIX),"Expertel SA - Proceedit (Barcelona, Espa̱a)",Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Design,"UI Design, UX Research, Figma, Prototyping",2025-10-14,BA
Travel Sales And Operations,Velvet Triip,Delhi,Immediately,6,10000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-11,MBA
Website And SEO Management,"Expertel SA - Proceedit (Barcelona, Espa̱a)",Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Web Development,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-12-04,MBA
"BIA (Big Data, IoT And Analytics)","Expertel SA - Proceedit (Barcelona, Espa̱a)",Work From Home,Immediately,6,1000,Yes,Onsite,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-09-22,MTech
Human Resources (HR),Sociology King,Work From Home,Immediately,6,1000,Yes,Onsite,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-19,MBA
Stock Exchange,Team Work Financial Solution Services,Work From Home,Immediately,6,1000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",2025-09-30,MBA
Equity Research,Team Work Financial Solution Services,Work From Home,Immediately,6,1000,Yes,Hybrid,Rural,Research & Strategy,"UI Design, UX Research, Figma, Prototyping, Research, Data Analysis",2025-10-02,BA
Football Event Management,Karnataka State Football Association,Bangalore,Immediately,6,10000,Yes,Hybrid,Rural,Operations & Support,"Event Planning, Coordination, Communication, PR",2025-11-08,BBA
Business Development (Sales),Learnopedia Services Private Limited,Pune,Immediately,6,10000,Yes,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-18,BTech
D2C Growth & Social Media,Kadrio,Work From Home,Immediately,6,2000,No,Onsite,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-10-03,BBA
Graphic Design,Eduminatti,Work From Home,Immediately,6,8000,No,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-13,BBA
UI/UX Design,Eduminatti,Work From Home,Immediately,6,10000,Yes,Remote,Rural,Design & Creative,"UI Design, UX Research, Figma, Prototyping",2025-11-17,MBA
Video Making/Editing,Eduminatti,Work From Home,Immediately,6,12000,No,Hybrid,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-10-18,BBA
Video Editing (After Effects),Maheen Jain,Work From Home,Immediately,6,15000,No,Hybrid,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-09-11,MBA
Operations,Eduminatti,Work From Home,Immediately,6,12000,No,Remote,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-11,BBA
Human Resources (HR),Eduminatti,Work From Home,Immediately,6,12000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-11,MCom
Web Development,Eduminatti,Work From Home,Immediately,6,12000,Yes,Remote,Rural,Web Development,"HTML, CSS, JavaScript, React",2025-09-15,MSc
WordPress Development,Contentlane,Work From Home,Immediately,6,5000,No,Onsite,Rural,Web Development,"PR Strategy, Media Relations, Communication, Writing",2025-11-22,MTech
Research Analytics,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization, Research",2025-11-10,BTech
Digital Marketing,WhaSeLiya,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-12,BA
Onboarding Management,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-25,BCom
Content Writing,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,No,Onsite,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-01,MTech
Business Project Management,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,No,Remote,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-10-17,MBA
Flutter Development,BELAKHEDA UDAY BHARTI SAMAJ KALYAN SAMITEE,Work From Home,Immediately,6,Unpaid,No,Hybrid,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",2025-11-27,BSc
Human Resources (HR),Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-17,MBA
Data Analysis & Research,Sysma Tech,Ahmedabad,Immediately,6,8000,Yes,Hybrid,Urban,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization, Research",2025-11-22,MCA
Business Analytics,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,6,1000,No,Onsite,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-11-05,MSc
Digital Marketing,Cloudphant,Work From Home,Immediately,6,3000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-05,BA
Google Pay Integration,NewBeginnings Charitable Trust,Work From Home,Immediately,6,Unpaid,No,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-12-03,MCom
Data Analysis,Ozibook Tech Solutions Private Limited,Work From Home,Immediately,2,1000,Yes,Hybrid,Rural,Research & Strategy,"Python, Data Analysis, SQL, Statistics, Data Visualization",2025-11-28,MSc
Online NEET Biology Tutoring,Narigiri's Connect To Universe Private Limited,Work From Home,Immediately,2,1500,No,Hybrid,Rural,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",2025-09-29,BBA
Marketing Management,Auriv Learning,Work From Home,Immediately,2,15000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-09-30,MBA
Online IIT/JEE Physics Teaching,Narigiri's Connect To Universe Private Limited,Work From Home,Immediately,2,1500,No,Remote,Rural,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",2025-11-01,BCom
Mechanical Design & Product Development,Stabiliant Precision Positioning Private Limited,Pune,Immediately,2,5000,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",2025-10-01,BSc
Content Writing,Arsedevils,Work From Home,Immediately,2,1500,Yes,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-10-20,MSc
Operations,Wiso Energy Solution,Work From Home,Immediately,2,10000,Yes,Hybrid,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-02,MBA
Digital Marketing,Community Action For Rural Development Society,Work From Home,Immediately,2,Unpaid,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-07,MA
Digital Marketing,Buy Tiles & More,Work From Home,Immediately,2,12000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-07,MBA
Search Engine Optimization (SEO),Ktricks Business Solutions,Work From Home,Immediately,2,2000,No,Onsite,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-11-17,MBA
Graphic Design,XPverse Edutech Private Limited,Work From Home,Immediately,2,2000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-22,MBA
Digital Marketing,Mahavir Jain Academy,Work From Home,Immediately,2,4000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-28,BBA
Graphic Design,Ink Dabba,Chennai,Immediately,2,10000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-10-12,BBA
Social Media Management,Memedia,Work From Home,Immediately,2,3000,No,Remote,Urban,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management",2025-10-26,MBA
Content Writing (Anime And Manga),Recent Highlights,Work From Home,Immediately,2,1000,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-11,MSc
Human Resources (HR),Fly Divine Travels,Faridabad,Immediately,2,8000,Yes,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-25,BBA
Human Resources (HR),Alpha Delving,Noida,Immediately,2,5000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-10,MBA
Human Resources (HR),GoKiwi Tech Private Limited,Bangalore,Immediately,2,15000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-12-07,BCom
Finance,Indian Wealth Management,Ahmedabad,Immediately,2,3000,No,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-11-25,BCom
Content Writing (College Section),Jagran New Media,Noida,Immediately,2,10000,No,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-25,MSc
Video Content Creation,Myrevue,Indore,Immediately,2,10000,No,Remote,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy, Video Editing, Videography",2025-12-06,MTech
Interior Design (Office Design),TWF - Premium Wheat Flours,Noida,Immediately,2,20000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-24,BBA
Digital Marketing,Stellar Idea Labs Pvt Ltd,Bangalore,Immediately,2,10000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-30,MA
Accounting & Bookkeeping,VAS Tribology Solutions Private Limited,Jamshedpur,Immediately,2,5000,No,Hybrid,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-09-28,MCom
Talent Acquisition,Master-O,Gurgaon,Immediately,2,10000,Yes,Onsite,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-11-05,BA
Graphic Design & UI/UX Design,Zylicon HackDev Technologies LLP,Gurgaon,Immediately,2,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, UI Design, UX Research",2025-11-05,BCom
ReactJs Development,NextGen Techno Ventures Private Limited,Mumbai,Immediately,2,5000,No,Remote,Rural,Software Development,"HTML, CSS, JavaScript, React",2025-10-19,MTech
Community Mental Health & Growth Management,Jumpingminds AI Labs Private Limited,Work From Home,Immediately,2,5000,No,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-12-03,MCom
Software Development,Ivory,Bangalore,Immediately,2,10000,No,Hybrid,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-11-06,BSc
Finance,Tradeshala,Work From Home,Immediately,2,3000,No,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-10-08,MCom
Finance & Accounting,OZiva,Mumbai,Immediately,2,12000,No,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",2025-10-18,MCom
Marketing,SafEarth Clean Technologies Private Limited,Delhi,Immediately,2,10000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-19,BBA
Customer Support,BusinessOnBot,Bangalore,Immediately,2,20000,Yes,Onsite,Urban,Finance,"BPO, Customer Support, Communication, Call Handling",2025-10-14,MBA
Instagram Reel Content Creation,Just Studio Technology,Chennai,Immediately,2,2000,Yes,Remote,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management, Content Writing, Editing",2025-12-05,BBA
Website Development,Sayed Aman  Ali,Work From Home,Immediately,2,1000,No,Onsite,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",2025-12-05,MCA
Cloud DevOps,ClimsTech Private Limited,Faridabad,Immediately,2,6000,No,Remote,Urban,Research,"Cloud Computing, AWS/Azure/GCP, DevOps, Docker",2025-10-11,BSc
Web Development,S.K EXPORTS,Delhi,Immediately,2,8000,No,Onsite,Rural,Web Development,"HTML, CSS, JavaScript, React",2025-11-21,BSc
Creative Design,Assurepe Technologies,Work From Home,Immediately,2,10000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-14,BCom
Human Resources (HR),Vyunex Private Limited,Hyderabad,Immediately,2,8000,Yes,Remote,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-11-22,BCom
Django & Django REST Framework Development,Flexmotiv Technologies,Work From Home,Immediately,2,5000,Yes,Onsite,Rural,Research & Strategy,"Python, APIs, Django/Flask, Data Analysis, Machine Learning",2025-09-23,MSc
Recruitment,AideWiser SolTek,Work From Home,Immediately,6,2000,No,Remote,Urban,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",2025-10-16,BBA
Business Development (Sales),Ashish Janghel,Work From Home,Immediately,6,3000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-12-03,MCA
Digital Marketing,CodeMasters Studio,Work From Home,Immediately,6,2500,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-10-01,BBA
Flutter Development,Deep Nucleus,Hyderabad,Immediately,6,15000,Yes,Onsite,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",2025-09-21,BCA
Human Resources (HR),Creanovation Technologies Private Limited,Bangalore,Immediately,6,8000,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-15,BCom
Social Media Marketing,The Sattvic Soul,Work From Home,Immediately,6,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-09,BA
Course Development (Full-Stack Web Development and Python/Django),1stMentor,Work From Home,Immediately,6,8000,No,Hybrid,Urban,Web Development,"Python, APIs, Django/Flask, Data Analysis, Machine Learning, HTML",2025-11-17,MCA
Data Collection,Trizula Digital Solutions Private Limited,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Data Science,"Communication, MS Excel, Research",2025-10-02,BBA
System Engineering,BlueCommerce,Delhi,Immediately,6,7000,No,Remote,Rural,Research,"Communication, MS Excel, Research",2025-11-09,MCom
Embedded Design Engineering,Promethean Power Systems,Pune,Immediately,6,15000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-12-01,BBA
Social Media Marketing,ReFind You,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-11-08,MA
French Teaching,Language Fluent Private Limited,Work From Home,Immediately,6,8000,No,Hybrid,Rural,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",2025-11-19,BCom
Graphic Design,Blendstop,Work From Home,Immediately,6,5000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-11-14,BBA
Customer Data Management,Devas Unlimited,Bagalur,Immediately,6,8000,No,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-21,BBA
Play-out Operator,GM Infotech,Mumbai,Immediately,6,15000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",2025-11-18,MCom
Video Making/Editing,Arthvit 1809 Tech Private Limited,Bangalore,Immediately,6,10000,No,Remote,Urban,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-10-26,BA
Video Editing,KRIYANITI Consultancy Services Private Limited,Ranchi,Immediately,6,2000,No,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-11-01,BBA
Social Media Marketing,Implica Global Corporation,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-11-14,MA
Content Writing,Tesz,Work From Home,Immediately,6,7000,Yes,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-09-10,PhD
Social Media Marketing,WiseKreator,Surat,Immediately,6,6000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-22,BA
Operations,Praj - The Rehab Sphere,Mumbai,Immediately,6,6000,Yes,Onsite,Rural,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-11-04,BBA
Graphic Design,Codebell Technologies Private Limited,Delhi,Immediately,6,10000,Yes,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-13,MCom
Graphic Design,Voyse Digital,Bangalore,Immediately,6,6000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-12-06,MCom
Social Media Marketing,Disha Skill Training Services,Work From Home,Immediately,6,6000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-11-19,MA
Event Management,Bright Candle Events,Mumbai,Immediately,6,7000,Yes,Hybrid,Rural,Operations & Support,"Event Planning, Coordination, Communication, PR",2025-09-22,BCom
Creative Assistant Director,Redragaa,Mumbai,Immediately,6,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",2025-10-26,MBA
Digital Marketing (YouTube Management),Vasukam,Work From Home,Immediately,6,3000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-22,BBA
HR,Zepto,Bangalore,Immediately,6,25000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-10-31,BBA
HR,Btree Systems,Chennai,Immediately,6,6000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-17,BCom
Telecalling,PAPPRO Solutions,Coimbatore,Immediately,6,7000,No,Hybrid,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",2025-09-24,BCom
SEO,Grand View Research,Pune,Immediately,6,5000,No,Remote,Rural,Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",2025-09-19,MA
Social Media Marketing,Strategized Consulting,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-11-28,MA
Video Making/Editing,Ayushi Anand,Delhi,Immediately,6,10000,Yes,Remote,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",2025-11-20,MA
Trainee Sales Executive,Lima Jamir,Bangalore,Immediately,6,10000,No,Onsite,Rural,Marketing,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Sales, Lead Generation",2025-12-03,BTech
Digital Marketing,Study Bridge International,Work From Home,Immediately,6,2000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",2025-11-29,BA
Business Development (Sales),Datatute Services India Private Limited,Indore,Immediately,6,2000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-11-19,MSc
Graphic Design,Tech9kapp Solutions,Hyderabad,Immediately,6,5000,Yes,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",2025-09-22,MCom
Social Media Marketing,Bhawna Verma,Gurgaon,Immediately,6,10000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-09-12,BA
Operations,Exprto,Gurgaon,Immediately,6,8000,No,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",2025-10-22,BCom
Research/Web Design,Central Square Foundation,Delhi,Immediately,6,12500,No,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",2025-11-09,BCom
Marketing & PR,Neogrowth Credit Private Limited,Mumbai,Immediately,3,10000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, PR Strategy, Media Relations",2025-11-20,MA
Business Development (Sales),NTech Stores,Work From Home,Immediately,3,2000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",2025-09-20,MSc
Data Entry/Coding,Wix Freaks,Mumbai,Immediately,3,8000,No,Remote,Rural,Data Science,"Communication, MS Excel, Research",2025-10-04,BCom
Android App Development,Elysium Academy Private Limited,Coimbatore,Immediately,3,10000,Yes,Onsite,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",2025-09-22,MCA
Law/Legal,Shankarlal Raheja,Thane,Immediately,3,2000,No,Remote,Urban,Legal & Compliance,"Legal Research, Compliance, Drafting, Documentation",2025-12-01,PhD
Telecalling,Inovoda Business  Solutions,Mumbai,Immediately,3,5000,No,Hybrid,Urban,Outreach & Client Relations,"Communication, MS Excel, Research",2025-10-15,BCom
"Video Editing (Canva, Adobe Premier Pro, Express)",Shaadivines,Work From Home,Immediately,3,8000,No,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Node.js, APIs",2025-11-04,BCom
Social Media Marketing,Mareeci,Gurgaon,Immediately,3,5000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",2025-10-29,MA
Customer Relationship,Euro Dreams Eduverseas Private Limited,Indore,Immediately,3,5000,Yes,Onsite,Rural,Research,"Communication, MS Excel, Research",2025-11-08,MBA
Sales,Uravu Labs,Bangalore,Immediately,3,12000,No,Onsite,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",2025-09-29,BBA
Human Resources (HR),Superbottoms,Work From Home,Immediately,3,7000,No,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",2025-09-15,BBA
Sales & Marketing (Field Sales),SYG EDTECH PVT LTD,Hyderabad,Immediately,3,8000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",2025-12-01,BA
Content Writing,IELTS Proficiency,Work From Home,Immediately,3,4000,Yes,Onsite,Rural,Content & Communication,"Content Writing, Editing, Research, Content Strategy",2025-11-17,MTech
