title,company_name,location,start_date,duration,stipend,ppo,workmode,region,domain,skills,deadline,degree,RIndex,No. of Positions,regional_language
Video Content Creation,Trade Brains,Bangalore,Immediately,6,12000,No,Onsite,Urban,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy, Video Editing, Videography",19-11-25,PhD,0.8,26,Kannada
Film Production,Realm Studios,Hyderabad,Immediately,6,8000,Yes,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",09-11-25,MCom,1.3,17,Telugu
Social Media Marketing,Minus Equals Plus,Delhi,Immediately,6,10000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",03-11-25,BA,0.5,4,Hindi
Social Media Marketing,Flipside Systems & Consultancy Private Limited,Mumbai,Immediately,6,5000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",31-10-25,BA,1.1,17,Marathi
Graphic Design,Wikasta Business And Technical Solutions Private Limited,Work From Home,Immediately,6,7000,Yes,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",02-12-25,MCom,0.8,13,Kannada
Video Making/Editing,SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Work From Home,Immediately,6,1000,Yes,Onsite,Rural,Media & Production,"Video Editing, Videography, Premiere Pro, After Effects",04-12-25,MBA,1.3,28,Hindi
Finance & Accounting,The Affordable Organic Store,Bangalore,Immediately,6,6000,No,Remote,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",13-10-25,BBA,0,21,Kannada
Business Building,Energy Alternatives India,Chennai,Immediately,6,15000,Yes,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping",20-09-25,MA,0,22,Tamil
Digital Marketing,AgentInsights,Delhi,Immediately,6,12000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",12-11-25,BBA,0.8,26,Hindi
Social Media Marketing,Star Production,Delhi,Immediately,6,3000,Yes,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",28-09-25,BA,1.3,11,Hindi
Graphic Design,SRI DAKSHINAMURTHY ACADEMY (OPC) PRIVATE LIMITED,Work From Home,Immediately,6,1000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",07-12-25,MCom,0.2,25,Kannada
Market Research,High On Trips,Hyderabad,Immediately,6,10000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",07-11-25,BBA,0,2,Telugu
Subject Matter Expert (Economics),Paradise Edu Services,Work From Home,Immediately,6,12000,No,Remote,Urban,Research & Strategy,"Economics, Data Analysis, Research, Report Writing",11-09-25,PhD,0,4,Tamil
Search Engine Optimization (SEO),The Overseas Consultant,Mumbai,Immediately,6,5000,Yes,Remote,Urban,Search & Performance Marketing,"SEO, Keyword Research, Google Analytics, Content Optimization",10-09-25,MA,0,12,Marathi
Graphic Design,Ferri,Gurgaon,Immediately,6,10000,No,Hybrid,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",03-11-25,BCom,1.1,6,Hindi
Human Resources (HR),Windzard Technologies Private Limited,Chennai,Immediately,6,6000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",27-11-25,BCom,0.5,10,Tamil
Financial Accounting,Indika AI Private Limited,Delhi,Immediately,6,10000,Yes,Hybrid,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",12-09-25,BCom,1,1,Hindi
Recruitment,DGguru Learning Solutions Private Limited (MentorKart),Sonepat,Immediately,6,10000,Yes,Hybrid,Rural,Human Resources,"UI Design, UX Research, Figma, Prototyping, Recruitment, Talent Acquisition",27-10-25,MA,1,17,Hindi
Sales & Marketing,Global Outsourcing Solutions,Delhi,Immediately,6,3000,Yes,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",24-11-25,MA,0.8,20,Hindi
Business Development (Sales),Unschool,Work From Home,Immediately,6,1000,Yes,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",06-10-25,MSc,0.3,6,Tamil
Digital Marketing,Elysian Corptech Services Private Limited,Patna,Immediately,6,6000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",11-11-25,MA,0.5,15,Hindi
Customer Support Engineering (IT),TantraSoft Solutions (I) Private Limited,Indore,Immediately,6,10000,Yes,Hybrid,Urban,Data Scientist,"BPO, Customer Support, Communication, Call Handling",11-10-25,BCom,1.1,28,Hindi
Research (Economics),Yali Mobility Private Limited,Chennai,Immediately,6,5000,No,Onsite,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking, Economics",03-12-25,BBA,1,7,Tamil
Hosting/Hostessing,Kheoni Ventures Private Limited,Delhi,Immediately,6,15000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",16-11-25,MBA,1.3,13,Hindi
Legal,Indika AI Private Limited,Delhi,Immediately,6,8000,Yes,Onsite,Rural,Legal,"Legal Research, Compliance, Drafting, Documentation",12-09-25,MTech,1,2,Hindi
Graphic Design,Rite KnowledgeLabs,Mumbai,Immediately,6,10000,Yes,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",24-10-25,BBA,0,27,Marathi
Content Design And Graphic Design,Stirring Minds,Delhi,Immediately,6,3000,Yes,Remote,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, Content Writing, Editing",30-10-25,BCom,0.5,10,Hindi
Remote Business Development,Intesome,Mumbai,Immediately,6,10000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",21-11-25,BCA,0.2,14,Marathi
Online Business & Portal Development,Energy Alternatives India,Chennai,Immediately,6,15000,No,Hybrid,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",13-09-25,MCA,1,21,Tamil
Digital Marketing,Terkar Capital,Pune,Immediately,6,5000,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",25-09-25,BBA,0,10,Marathi
UX/UI Design,STEMpedia,Ahmedabad,Immediately,6,8000,No,Hybrid,Urban,Design & Creative,"UI Design, UX Research, Figma, Prototyping",23-10-25,MA,0.8,15,Gujarati
Brand Marketing,BluEncore,Mumbai,Immediately,6,2500,No,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",06-12-25,MBA,1.3,26,Marathi
Sales And Admin Coordination,Vivensa MG Impex Private Limited,Work From Home,Immediately,6,6000,Yes,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",13-11-25,BCom,0.5,5,Telugu
Assistance To Director,Marvel Infocomm Private Limited,Ahmedabad,Immediately,6,14500,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",01-11-25,MBA,0.2,9,Gujarati
Digital Marketing,Terkar Capital,Pune,Immediately,6,5000,No,Hybrid,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",31-10-25,BA,1.3,25,Marathi
Fashion Design Management,LetsDressUp,Work From Home,Immediately,6,3000,No,Onsite,Urban,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",24-11-25,BCom,0.3,21,Punjabi
Visualization,Studio Image Works,Gurgaon,Immediately,6,8000,Yes,Hybrid,Urban,Research,"Communication, MS Excel, Research",13-09-25,BCom,0.3,1,Hindi
Management,Studio Image Works,Gurgaon,Immediately,6,8000,Yes,Onsite,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",29-11-25,MCom,1.1,29,Hindi
Business Development (Sales),Expertbells Consulting Private Limited,Agra,Immediately,6,5000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",18-10-25,BCA,0.8,26,Hindi
Photography,Social Agni,Delhi,Immediately,6,2500,Yes,Remote,Urban,Media & Entertainment,"Photography, Lightroom, Photoshop, Editing",11-11-25,BFA,0.8,21,Hindi
Partnership Management,Energy Alternatives India,Chennai,Immediately,6,15000,Yes,Hybrid,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",22-11-25,BBA,0.8,28,Tamil
Human Resources (HR),Studio Image Works,Gurgaon,Immediately,6,6000,Yes,Onsite,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",01-10-25,MBA,1,22,Hindi
Human Resources (HR),BM INNOVATIONS PRIVATE LIMITED,Hyderabad,Immediately,6,2000,No,Remote,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",20-10-25,BBA,1,28,Telugu
UI/UX Design,Autowhat,Mumbai,Immediately,6,2000,No,Onsite,Urban,Design & Creative,"UI Design, UX Research, Figma, Prototyping",28-09-25,BBA,1.1,2,Marathi
Graphic Design And UI/UX,Joints Health Private Limited,Delhi,Immediately,6,6000,No,Remote,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva, UI Design, UX Research",13-11-25,BCom,0.8,19,Hindi
3D Animation,Studio Image Works,Gurgaon,Immediately,6,8000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",14-11-25,MCom,1.1,9,Hindi
Creative Communications,Energy Alternatives India,Chennai,Immediately,2,15000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",06-12-25,BBA,0.2,23,Tamil
Fashion Design - NIFT/ PEARL,Fractal Designs,Faridabad,Immediately,2,20000,Yes,Onsite,Rural,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",18-11-25,BBA,0.2,28,Hindi
Web3 Content Creation,The HR Mindset Corporate Service Private Limited,Mumbai,Immediately,2,5000,Yes,Remote,Rural,Social Media & Community Management,"Content Writing, Editing, Research, Content Strategy",23-11-25,MTech,0.2,24,Marathi
Corporate Relations,DataTrained Education Private Limited,Delhi,Immediately,2,10000,No,Remote,Rural,Research,"Communication, MS Excel, Research",11-10-25,BCom,1,26,Hindi
Business Development (Sales),GNOVATIONS TECHNOLOGIES,Delhi,Immediately,2,12000,No,Hybrid,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",15-11-25,MSc,0.3,5,Hindi
E-Commerce Marketing,Eastcommerce Marketplace LLC,Work From Home,Immediately,2,8000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, E-commerce Management, Product Listing",19-09-25,MBA,0.8,1,Tamil
iOS App Development,STEMpedia,Ahmedabad,Immediately,2,9000,No,Hybrid,Rural,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",09-10-25,BTech,0.2,27,Gujarati
Marketing,ShyamÃ¢â‚¬â„¢s Salon & Academy,Mira Bhayandar,Immediately,2,10000,No,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",03-12-25,MA,1.1,10,Hindi
WordPress Development,UnitedOver LLC,Work From Home,Immediately,2,2000,Yes,Onsite,Urban,Web Development,"PR Strategy, Media Relations, Communication, Writing",18-10-25,BTech,0,19,Malayalam
Digital Marketing,Shiva Verma,Delhi,Immediately,2,10000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",15-09-25,BA,0,7,Hindi
UI/UX Design,AZ ALPHA TECH SOLUTIONS PRIVATE LIMITED,Faridabad,Immediately,2,5000,Yes,Hybrid,Rural,Design & Creative,"UI Design, UX Research, Figma, Prototyping",21-09-25,MBA,0.5,6,Hindi
PHP Development,FynTune Solution Private Limited,Navi Mumbai,Immediately,2,12000,No,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",18-09-25,BTech,1,13,Hindi
"Strategic Communications, Media & Public Relations (PR)",Studio Talk (Division Of Pinstripe Zebras),Mumbai,Immediately,2,8000,Yes,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",12-10-25,MBA,0,24,Marathi
Social Media Marketing & Digital Marketing,RentMAX - Stress Free Renting,Mumbai,Immediately,2,5000,Yes,Onsite,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",04-11-25,BA,1.1,16,Marathi
Mobile App Development,Bilateral Solutions Private Limited,Mandi,Immediately,2,10000,No,Remote,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",26-11-25,BTech,0.3,15,Hindi
Fashion Design & Styling,SALVE,Delhi,Immediately,2,6000,Yes,Hybrid,Urban,Architecture & Design,"Design, Creativity, Sketching, CAD (basic)",22-11-25,MBA,1.1,19,Hindi
"Content Writing (UFC, Boxing)","Zion Media (Dhaka, Bangladesh)",Work From Home,Immediately,2,6500,No,Remote,Urban,Content & Communication,"Content Writing, Editing, Research, Content Strategy",01-10-25,MSc,0.8,8,Bengali
Golang Development,WiJungle - by HttpCart,Gurgaon,Immediately,2,30000,Yes,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",06-12-25,MTech,1.3,26,Hindi
UI Design,Guruji Astro,Jaipur,Immediately,2,8000,No,Hybrid,Rural,Design,"UI Design, UX Research, Figma, Prototyping",21-11-25,BBA,1.3,7,Hindi
Product Management,FynTune Solution Private Limited,Turbhe,Immediately,2,12000,Yes,Remote,Urban,Research & Strategy,"PR Strategy, Media Relations, Communication, Writing",10-11-25,BBA,0.3,4,Hindi
Project Management,Patrah Sustainable Lifestyle,Mumbai,Immediately,2,6000,No,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",30-09-25,BCom,1.3,9,Marathi
B2B Sales,Intesome,Chennai,Immediately,2,10000,Yes,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",17-09-25,BBA,1,12,Tamil
Business/Sales Development (Agricultural Products),BKA Systems LLC,Chennai,Immediately,2,8000,No,Remote,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",27-09-25,MCA,0.8,27,Tamil
Chemistry Subject Expert,HaZZten,Work From Home,Immediately,2,10000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",06-11-25,BCom,0.5,16,Malayalam
Teaching,CODING JUNIORS TECH PRIVATE LIMITED,Ahmedabad,Immediately,2,5000,Yes,Hybrid,Urban,Software Development,"Teaching, Lesson Planning, Communication, Mentoring",02-11-25,MBA,0.3,13,Gujarati
Business Development (Sales),Intellifi Technologies Private Limited,Delhi,Immediately,2,8000,Yes,Onsite,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",02-12-25,MTech,1.1,21,Hindi
Interior Design,Kitchenation,Indore,Immediately,2,5000,No,Hybrid,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",28-10-25,MBA,1.3,4,Hindi
Subject Matter Expert (Physics And Advanced Physics),Innovalance Learning Systems,Work From Home,Immediately,2,12000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",30-09-25,MCom,0.3,19,Hindi
Solar Engineering,Globus Thenken,Pune,Immediately,2,12000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",30-09-25,MCom,0.8,19,Marathi
Statistics Subject Expert,HaZZten,Work From Home,Immediately,2,10000,No,Hybrid,Urban,Research & Strategy,"Statistics, Data Analysis, R, Python",29-09-25,BTech,1.1,15,Hindi
3D Animation,Studio Image Works,Gurgaon,Immediately,2,8000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",02-12-25,MCom,0.2,28,Hindi
Human Resources (HR),Smart Shine,Ahmedabad,Immediately,2,5000,No,Hybrid,Urban,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",07-12-25,BBA,0,23,Gujarati
E-Commerce Business Management,Caratly,Kolkata,Immediately,2,6000,Yes,Remote,Rural,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",22-10-25,MBA,1,9,Bengali
Digital Project (Associate),Quantazone,Work From Home,Immediately,2,5000,Yes,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",20-10-25,MBA,1.1,1,Bengali
2D Animation,The Bangalore Studio The Nation's Pride,Bangalore,Immediately,2,10000,Yes,Remote,Rural,Research,"Communication, MS Excel, Research",18-09-25,BCom,0.5,16,Kannada
Industrial Decarbonization Research,Energy Alternatives India,Chennai,Immediately,2,15000,No,Hybrid,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",05-11-25,BBA,1,14,Tamil
Climate Finance Research,Energy Alternatives India,Chennai,Immediately,2,15000,No,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation, Research, Data Analysis",07-10-25,MCom,0.5,1,Tamil
IT Sales,VortexWeb,Work From Home,Immediately,2,1000,No,Hybrid,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",25-09-25,MBA,1,24,Tamil
Research,Requin Solutions Private Limited,Jaipur,Immediately,2,10000,Yes,Hybrid,Urban,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",18-11-25,BBA,0.3,26,Hindi
Accounts,Matrix International,Kolkata,Immediately,2,8000,No,Onsite,Urban,Research,"Communication, MS Excel, Research",24-10-25,MCom,0.8,29,Bengali
Product Design - Mechanical Engineering,Greendzine Technologies,Bangalore,Immediately,3,18000,No,Hybrid,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",02-10-25,MBA,0,7,Kannada
Social Media Content Creation,Hrita Solutions Private Limited,Mumbai,Immediately,3,11000,No,Hybrid,Rural,Social Media & Community Management,"Social Media Strategy, Content Creation, Analytics, Community Management, Content Writing, Editing",13-10-25,BBA,0.5,29,Marathi
CAD (Computer Aided Design) Engineering,Bempu Health,Bangalore,Immediately,3,15000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",06-11-25,BCA,0.3,3,Kannada
Printed Circuit Board Design,Primary Healthtech,Delhi,Immediately,3,10000,Yes,Remote,Urban,Design,"UI Design, UX Research, Figma, Prototyping, PR Strategy, Media Relations",18-09-25,MBA,0.8,2,Hindi
Embedded Systems,STEMpedia,Ahmedabad,Immediately,3,10000,No,Hybrid,Rural,Research,"Communication, MS Excel, Research",23-11-25,BBA,1,12,Gujarati
Data Entry,Cuberoutes,Noida,Immediately,3,5000,Yes,Onsite,Rural,Data Science,"Communication, MS Excel, Research",09-10-25,MBA,0.5,29,Hindi
Banking Operations,WeMakeScholars,Hyderabad,Immediately,3,10000,Yes,Onsite,Rural,Operations & Support,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",21-11-25,MCom,0.5,27,Telugu
Supply Chain Management (SCM),Countai Private Limited,Coimbatore,Immediately,3,8000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis, Supply Chain Management, Logistics",05-11-25,BCA,0.3,26,Hindi
Marketing,Metagro Private Limited,Hyderabad,Immediately,3,10000,Yes,Onsite,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",26-11-25,MA,0.5,17,Telugu
Electronics Engineering,House Technologies,Delhi,Immediately,3,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",30-09-25,BCom,1.1,29,Hindi
CAD & Product Design,STEMpedia,Ahmedabad,Immediately,3,8000,No,Hybrid,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",02-12-25,BBA,1.3,6,Gujarati
Architecture,ABC Architect's Consultants,Mumbai,Immediately,3,4500,No,Remote,Rural,Architecture & Design,"Communication, MS Excel, Research",01-12-25,MCom,0.5,1,Marathi
Social Entrepreneurship,NayePankh Foundation,Work From Home,Immediately,3,Unpaid,No,Remote,Rural,Content Writing,"PR Strategy, Media Relations, Communication, Writing",11-11-25,MBA,1.3,27,Tamil
PowerShell Development,TechPio Services LLP,Mohali,Immediately,3,12000,No,Hybrid,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",20-10-25,MSc,0.5,18,Hindi
Energy Efficiency Research,Energy Alternatives India,Chennai,Immediately,3,15000,Yes,Remote,Rural,Research & Strategy,"Research, Data Analysis, Report Writing, Critical Thinking",18-11-25,MBA,0.5,20,Tamil
Business Development (Sales),Ep.Log Media,Mumbai,Immediately,3,5000,No,Remote,Urban,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",10-09-25,BCA,0.3,18,Marathi
Social Media Marketing,Scope For Change,Work From Home,Immediately,3,Unpaid,Yes,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Social Media Strategy, Content Creation",17-09-25,MBA,0.8,29,Marathi
AWS Terraform &  Kubernetes DevOps,RedCarpetUp,Work From Home,Immediately,3,5000,Yes,Hybrid,Rural,Data Analyst,"Cloud Computing, AWS/Azure/GCP, DevOps, Docker",17-10-25,MTech,0.5,11,Tamil
Design & Manufacturing,Primary Healthtech,Guwahati,Immediately,3,5000,No,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",31-10-25,MCom,1,6,Hindi
Investor Relation (Women Candidates Only),Smart HR Consultants,Mumbai,Immediately,3,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",16-09-25,MCom,0.3,29,Marathi
Chartered Accountancy (CA) Articleship,Bedi And Associates,Delhi,Immediately,3,3000,Yes,Hybrid,Rural,Research,"Communication, MS Excel, Research",11-11-25,MBA,1.3,25,Hindi
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,3,5000,No,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing, Sales, Lead Generation",28-11-25,BBA,1,7,Kannada
Flutter Development,ShellCode IT Services Private Limited,Pune,Immediately,3,10000,Yes,Onsite,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs",18-09-25,BCA,0.8,3,Marathi
Data Entry - Chennai,Cuberoutes,Chennai,Immediately,3,5000,No,Onsite,Urban,Research & Strategy,"Python, Machine Learning, TensorFlow/PyTorch, Data Analysis",18-09-25,BCA,1.1,6,Tamil
Graphic Design,NetBramha Studios,Bangalore,Immediately,3,10000,Yes,Onsite,Rural,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",20-11-25,BBA,1,27,Kannada
C# .NET Development,Quantasis Private Limited,Mumbai,Immediately,3,6000,Yes,Remote,Rural,Marketing,"Sales, Communication, Negotiation, Lead Generation",19-11-25,MCA,0.2,12,Marathi
Creative Editing & Virtual Assistance For Ecommerce Brand,Monokai Media,Work From Home,Immediately,3,10000,No,Onsite,Urban,Marketing,"E-commerce Management, Product Listing, SEO, Digital Marketing",06-12-25,MBA,0,28,Telugu
Accounts & Finance Management,Urja Talents,Mumbai,Immediately,3,8000,Yes,Onsite,Urban,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",27-10-25,MCom,0.3,14,Marathi
Subject Matter Expert (Accounting),Paradise Edu Services,Work From Home,Immediately,3,12000,No,Remote,Rural,Finance,"Accounting/Finance, Excel, Financial Analysis, Tally/Valuation",27-11-25,MBA,1,25,Kannada
Community Management,InAmigos Foundation,Work From Home,Immediately,3,Unpaid,Yes,Remote,Urban,Operations & Support,"Operations Management, Coordination, MS Excel, Communication",20-09-25,BBA,1.1,20,Punjabi
Marketing Operations,Unschool,Work From Home,Immediately,3,1000,No,Remote,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",04-10-25,MA,0.3,10,Kannada
Subject Matter Expert (Mathematics),HaZZten,Work From Home,Immediately,3,10000,Yes,Onsite,Urban,Research,"Communication, MS Excel, Research",11-11-25,BBA,1.1,14,Bengali
Marketing,Shreeyash Associates,Pune,Immediately,3,5000,Yes,Remote,Rural,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",23-11-25,BA,0.2,7,Marathi
Field Visit For Data Collection,LearnAsYouGo Private Limited,Villupuram,Immediately,3,12000,Yes,Onsite,Rural,Data Science,"Communication, MS Excel, Research",20-10-25,BBA,0.2,1,Hindi
Business Development (Sales),Starz,Work From Home,Immediately,3,5000,Yes,Onsite,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",25-11-25,MCA,1,13,Telugu
Data Annotation (Non-Tech),Bilateral Solutions Private Limited,Mandi,Immediately,3,10000,No,Remote,Rural,Data Science,"Communication, MS Excel, Research",12-11-25,MBA,0.2,7,Hindi
Power Electronics Engineering (Electric Vehicles),Veer B Mahapatra,Bangalore,Immediately,3,10000,No,Hybrid,Urban,Research,"Communication, MS Excel, Research",19-11-25,MBA,0.3,27,Kannada
Digital Marketing,Start Solar India,Delhi,Immediately,3,5000,No,Hybrid,Urban,Marketing,"Digital Marketing, SEO/SEM, Social Media Marketing, Content Marketing",22-10-25,BBA,0.3,8,Hindi
Product Design - Industrial Design (ID),Greendzine Technologies,Bangalore,Immediately,3,18000,No,Onsite,Urban,Content Writing,"PR Strategy, Media Relations, Communication, Writing",10-10-25,MBA,0.8,3,Kannada
Virtual Volunteering,InAmigos Foundation,Work From Home,Immediately,3,Unpaid,No,Onsite,Urban,Research,"Communication, MS Excel, Research",14-11-25,BBA,0.8,18,Kannada
Android Teaching Assistance (Virtual),Internshala Trainings,Work From Home,Immediately,6,5000,Yes,Remote,Urban,App Development,"Mobile App Development, Java/Kotlin, Flutter/React Native, APIs, Teaching, Lesson Planning",10-10-25,MSc,0.3,26,Gujarati
Business Development (Sales),Comit Solution,Work From Home,Immediately,6,1000,Yes,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",01-10-25,BSc,0.5,12,Tamil
Pre-Sales And Sales Support,Paathshala Spark,Work From Home,Immediately,6,5000,No,Remote,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication, PR Strategy, Media Relations",07-12-25,BBA,1.3,2,Marathi
Remote Tele Sales Executive - Real Estate,BN Habitat Pvt Ltd,Work From Home,Immediately,6,1000,No,Hybrid,Urban,Marketing,"Sales, Lead Generation, Negotiation, Communication",02-10-25,BBA,0.8,6,Telugu
Mechanical Design,Countai Private Limited,Erode,Immediately,6,10000,No,Onsite,Urban,Design & Creative,"Graphic Design, Photoshop, Illustrator, Canva",15-09-25,BCom,1.1,21,Hindi
Sales ( Work from home),Time Your Money,Guwahati,Immediately,6,2000,Yes,Onsite,Rural,Marketing,"Sales, Lead Generation, Negotiation, Communication",28-11-25,MBA,0.5,11,Hindi
Analytical Chemistry,A.S.E Analytics LLP,Ahmedabad,Immediately,6,18000,Yes,Remote,Urban,Research,"Communication, MS Excel, Research",09-11-25,MBA,0,13,Gujarati
Environmental Engineering,Pro India,Work From Home,Immediately,6,1000,No,Onsite,Rural,Research,"Communication, MS Excel, Research",05-12-25,MBA,1,26,Gujarati
Learning & Development,Avaesa,Work From Home,Immediately,6,4000,No,Remote,Urban,Marketing,"Sales, Communication, Negotiation, Lead Generation",04-11-25,BSc,0.8,15,Telugu
Oscillation And Waves Teaching,Paathshala Spark,Work From Home,Immediately,6,1000,No,Remote,Rural,Finance,"Teaching, Lesson Planning, Communication, Mentoring",06-11-25,MCom,1.3,2,Punjabi
Human Resources (teams),Adore Earth,Work From Home,Immediately,6,Unpaid,Yes,Hybrid,Rural,Human Resources,"Recruitment, Talent Acquisition, Communication, Interviewing",22-11-25,BBA,0.5,9,Telugu
Subject Matter Expert (SME) Economics,Decorfair Overseas LLP,Work From Home,Immediately,6,1000,No,Hybrid,Rural,Research & Strategy,"Economics, Data Analysis, Research, Report Writing",16-10-25,MTech,1,29,Bengali
Business Development (Sales),BookMySuites,Panjim,Immediately,6,6000,No,Remote,Rural,Sales & Business Development,"Sales, Lead Generation, Negotiation, Communication",07-10-25,MTech,0.2,5,Hindi
